model_name,display_name,model_family,model_type,task,precision,compiled,compile_mode,gpu_name,gpu_mem_gb,batch_size,throughput_mean,pixels_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,params_M,macs_G,peak_memory_mb,tf32_enabled,input_channels,input_size,pytorch_version,cuda_version,timestamp
dofa_base,DOFA-B/16,DOFA,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,4096,OOM,,,,,,,,,,,,,,
dofa_large,DOFA-L/16,DOFA,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,102.32,5134194,20014.915,20014.897,20027.971,20029.133,337.15,119.65,20776.8,False,3,224,2.7.1+cu126,12.6,2026-04-19T05:44:39
croma_optical,CROMA-Optical,CROMA,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,256.37,3691702,7988.511,7989.629,7993.646,7993.718,90.34,40.36,26392.4,False,12,120,2.7.1+cu126,12.6,2026-04-19T05:49:17
croma_sar,CROMA-SAR,CROMA,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,513.50,7394362,3988.336,3990.534,3996.887,3997.950,47.34,20.10,25041.7,False,2,120,2.7.1+cu126,12.6,2026-04-19T05:52:03
senpamae,SenPaMAE-B/16,SenPaMAE,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,273.28,5666743,7494.133,7499.284,7501.073,7501.234,95.02,41.43,20775.1,False,3,144,2.7.1+cu126,12.6,2026-04-19T05:56:23
galileo_nano,Galileo-Nano,Galileo,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,4096,1819.73,7453608,2250.885,2169.317,2573.013,2633.903,1.04,0.51,27552.8,False,10,64,2.7.1+cu126,12.6,2026-04-19T05:58:37
galileo_base,Galileo-Base,Galileo,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,1024,184.35,755084,5554.748,5550.388,5599.111,5600.137,86.52,54.42,18624.0,False,10,64,2.7.1+cu126,12.6,2026-04-19T06:02:33
galileo_large,Galileo-Large,Galileo,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,38.97,159640,13136.753,13133.566,13150.421,13151.919,474.70,302.09,15855.6,False,10,64,2.7.1+cu126,12.6,2026-04-19T06:12:05
olmoearth_nano,OlmoEarth-Nano,OlmoEarth,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,4096,1852.58,30352617,2210.975,2211.265,2218.241,2220.039,2.65,1.26,26002.8,False,12,128,2.7.1+cu126,12.6,2026-04-19T06:13:47
olmoearth_tiny,OlmoEarth-Tiny,OlmoEarth,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,2048,582.03,9536046,3518.694,3518.890,3524.448,3525.248,12.90,8.23,18689.3,False,12,128,2.7.1+cu126,12.6,2026-04-19T06:16:12
olmoearth_base,OlmoEarth-Base,OlmoEarth,vit,classification,fp32,False,none,Tesla V100-SXM2-32GB,34.1,512,77.28,1266190,6625.079,6624.539,6633.028,6633.397,202.02,130.76,18161.6,False,12,128,2.7.1+cu126,12.6,2026-04-19T06:20:22
